build_time;type;municipality;settlement;lon;lat
enne 1919;uhepereelamu;Pajusi;Aidu;26.198374;58.728722
enne 1919;uhepereelamu;Pajusi;Aidu;26.200217;58.729531
enne 1919;uhepereelamu;Pajusi;Aidu;26.199965;58.730159
1946-1960;uhepereelamu;Pajusi;Aidu;26.200185;58.731507
1946-1960;uhepereelamu;Pajusi;Aidu;26.198416;58.731246
1919-1945;uhepereelamu;Pajusi;Aidu;26.198508;58.731760
1971-1980;uhepereelamu;Pajusi;Aidu;26.197071;58.731825
1971-1980;uhepereelamu;Pajusi;Aidu;26.197653;58.732206
enne 1919;uhepereelamu;Pajusi;Aidu;26.196776;58.729994
enne 1919;uhepereelamu;Pajusi;Aidu;26.195381;58.731045
ehitusaeg teadmata;uhepereelamu;Pajusi;Aidu;26.194032;58.733134
enne 1919;uhepereelamu;Pajusi;Aidu;26.194114;58.734444
1919-1945;uhepereelamu;Pajusi;Aidu;26.192216;58.735178
1981-1990;uhepereelamu;Pajusi;Aidu;26.193729;58.735466
ehitusaeg teadmata;uhepereelamu;Pajusi;Aidu;26.185043;58.737473
1971-1980;uhepereelamu;Pajusi;Aidu;26.185069;58.738258
1981-1990;uhepereelamu;Pajusi;Aidu;26.184674;58.739209
1981-1990;uhepereelamu;Pajusi;Aidu;26.183202;58.738905
enne 1919;uhepereelamu;Pajusi;Aidu;26.180276;58.740041
1981-1990;uhepereelamu;Pajusi;Aidu;26.179150;58.740231
1919-1945;uhepereelamu;Pajusi;Aidu;26.178203;58.740311
1961-1970;uhepereelamu;Pajusi;Aidu;26.187440;58.732851
1961-1970;uhepereelamu;Pajusi;Aidu;26.186230;58.732566
1919-1945;uhepereelamu;Pajusi;Aidu;26.183267;58.733003
1971-1980;uhepereelamu;Pajusi;Aidu;26.180105;58.732508
1946-1960;uhepereelamu;Pajusi;Aidu;26.202473;58.730479
enne 1919;uhepereelamu;Pajusi;Aidu;26.204298;58.727781
1919-1945;uhepereelamu;Pajusi;Aidu;26.207695;58.722562
1961-1970;uhepereelamu;Pajusi;Aidu;26.196856;58.728406
1919-1945;uhepereelamu;Pajusi;Aidu;26.197727;58.727251
enne 1919;uhepereelamu;Pajusi;Aidu;26.198273;58.724672
enne 1919;uhepereelamu;Pajusi;Aidu;26.199285;58.719364
enne 1919;uhepereelamu;Pajusi;Aidu;26.206936;58.715267
enne 1919;uhepereelamu;Pajusi;Aidu;26.191114;58.717643
enne 1919;uhepereelamu;Pajusi;Aidu;26.183929;58.719705
1919-1945;uhepereelamu;Pajusi;Aidu;26.185138;58.717511
1946-1960;muu vaikeelamu;Pajusi;Aidu;26.182006;58.717564
1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.988536;58.690483
1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.986697;58.696035
enne 1919;uhepereelamu;Poltsamaa;Alastvere;25.986271;58.697999
1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.006165;58.694889
1961-1970;paljukorteriline elamu;Poltsamaa;Alastvere;25.999520;58.699681
1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.009620;58.696120
1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.009126;58.698005
enne 1919;uhepereelamu;Poltsamaa;Alastvere;26.010986;58.698264
1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.013119;58.699344
1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.016473;58.701537
1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.005423;58.692467
1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.003251;58.692177
1991-1995;uhepereelamu;Poltsamaa;Alastvere;26.003921;58.689122
1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.003968;58.688761
1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.991139;58.686203
1961-1970;uhepereelamu;Poltsamaa;Alastvere;25.994428;58.679143
1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.987946;58.688292
enne 1919;uhepereelamu;Poltsamaa;Alastvere;25.985047;58.688579
enne 1919;uhepereelamu;Poltsamaa;Alastvere;25.985238;58.689213
1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.980965;58.688435
1919-1945;uhepereelamu;Jogeva;Alavere;26.519816;58.763077
enne 1919;uhepereelamu;Jogeva;Alavere;26.505981;58.776718
1919-1945;uhepereelamu;Jogeva;Alavere;26.506546;58.775113
1919-1945;uhepereelamu;Jogeva;Alavere;26.508954;58.773835
ehitus pooleli;uhepereelamu;Jogeva;Alavere;26.509107;58.772785
enne 1919;uhepereelamu;Jogeva;Alavere;26.509407;58.772339
ehitusaeg teadmata;uhepereelamu;Jogeva;Alavere;26.509422;58.771944
enne 1919;uhepereelamu;Jogeva;Alavere;26.510347;58.770883
enne 1919;uhepereelamu;Jogeva;Alavere;26.511272;58.770803
ehitusaeg teadmata;uhepereelamu;Jogeva;Alavere;26.511409;58.770000
enne 1919;uhepereelamu;Jogeva;Alavere;26.510201;58.769808
enne 1919;uhepereelamu;Jogeva;Alavere;26.512830;58.769232
1919-1945;uhepereelamu;Jogeva;Alavere;26.513077;58.768801
1971-1980;uhepereelamu;Jogeva;Alavere;26.512542;58.767651
1919-1945;uhepereelamu;Jogeva;Alavere;26.513016;58.765742
enne 1919;uhepereelamu;Jogeva;Alavere;26.517989;58.757316
enne 1919;uhepereelamu;Jogeva;Alavere;26.519795;58.754901
1981-1990;uhepereelamu;Jogeva;Alavere;26.522193;58.755029
1919-1945;uhepereelamu;Jogeva;Alavere;26.524174;58.757295
1981-1990;uhepereelamu;Jogeva;Alavere;26.517110;58.753946
1971-1980;uhepereelamu;Jogeva;Alavere;26.515287;58.753866
1981-1990;uhepereelamu;Jogeva;Alavere;26.515798;58.753087
1971-1980;uhepereelamu;Jogeva;Alavere;26.513721;58.752656
1919-1945;uhepereelamu;Jogeva;Alavere;26.519799;58.763077
enne 1919;uhepereelamu;Puurmani;Altnurga;26.300992;58.547581
enne 1919;uhepereelamu;Puurmani;Altnurga;26.300657;58.548242
enne 1919;uhepereelamu;Puurmani;Altnurga;26.300313;58.548708
1919-1945;uhepereelamu;Puurmani;Altnurga;26.303231;58.553119
1919-1945;uhepereelamu;Puurmani;Altnurga;26.297650;58.554261
1919-1945;uhepereelamu;Puurmani;Altnurga;26.296548;58.556581
1919-1945;uhepereelamu;Puurmani;Altnurga;26.292558;58.558953
1919-1945;uhepereelamu;Puurmani;Altnurga;26.294070;58.561019
1919-1945;uhepereelamu;Puurmani;Altnurga;26.294965;58.563168
1919-1945;uhepereelamu;Puurmani;Altnurga;26.291489;58.563886
1946-1960;uhepereelamu;Puurmani;Altnurga;26.293054;58.564711
1919-1945;uhepereelamu;Puurmani;Altnurga;26.304447;58.560113
1919-1945;uhepereelamu;Puurmani;Altnurga;26.309281;58.559111
1919-1945;uhepereelamu;Puurmani;Altnurga;26.315373;58.559981
enne 1919;uhepereelamu;Puurmani;Altnurga;26.315666;58.562607
enne 1919;uhepereelamu;Puurmani;Altnurga;26.317884;58.557904
enne 1919;uhepereelamu;Puurmani;Altnurga;26.326411;58.550140
1919-1945;uhepereelamu;Puurmani;Altnurga;26.311095;58.544641
enne 1919;uhepereelamu;Puurmani;Altnurga;26.320597;58.541982
enne 1919;uhepereelamu;Puurmani;Altnurga;26.325961;58.537618
1961-1970;uhepereelamu;Puurmani;Altnurga;26.331112;58.541458
enne 1919;uhepereelamu;Puurmani;Altnurga;26.334800;58.540080
1919-1945;uhepereelamu;Puurmani;Altnurga;26.344194;58.537681
ehitusaeg teadmata;uhepereelamu;Puurmani;Altnurga;26.347024;58.535005
1919-1945;uhepereelamu;Puurmani;Altnurga;26.387082;58.516442
enne 1919;uhepereelamu;Puurmani;Altnurga;26.324000;58.528795
enne 1919;uhepereelamu;Puurmani;Altnurga;26.305945;58.521704
1919-1945;uhepereelamu;Puurmani;Altnurga;26.295987;58.528837
enne 1919;uhepereelamu;Puurmani;Altnurga;26.299958;58.535724
1946-1960;uhepereelamu;Puurmani;Altnurga;26.290064;58.538128
1919-1945;uhepereelamu;Puurmani;Altnurga;26.291890;58.545050
1919-1945;uhepereelamu;Puurmani;Altnurga;26.281720;58.543262
enne 1919;uhepereelamu;Puurmani;Altnurga;26.420333;58.531050
enne 1919;uhepereelamu;Puurmani;Altnurga;26.429465;58.541137
1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.039258;58.645695
1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.057165;58.645168
enne 1919;muu vaikeelamu;Poltsamaa;Annikvere;26.040234;58.641947
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.039343;58.641832
enne 1919;paljukorteriline elamu;Poltsamaa;Annikvere;26.041453;58.641969
1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.040123;58.641315
1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.040805;58.640586
1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.045192;58.639888
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.045510;58.638545
1981-1990;uhepereelamu;Poltsamaa;Annikvere;26.047120;58.637217
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.049467;58.636398
1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.050060;58.635615
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.059000;58.635312
1946-1960;uhepereelamu;Poltsamaa;Annikvere;26.034217;58.643466
1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.032188;58.641478
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.033798;58.635084
1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.038680;58.635796
ehitusaeg teadmata;uhepereelamu;Poltsamaa;Annikvere;26.036843;58.632834
1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.033706;58.645908
ehitus pooleli;uhepereelamu;Poltsamaa;Annikvere;26.032394;58.646253
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.031610;58.644774
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.031296;58.644474
1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.031148;58.646452
1946-1960;uhepereelamu;Poltsamaa;Annikvere;26.029901;58.646579
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.029493;58.646883
ehitusaeg teadmata;uhepereelamu;Poltsamaa;Annikvere;26.028874;58.646668
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.028170;58.647124
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.028712;58.646006
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.027127;58.645967
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.027452;58.647328
1946-1960;uhepereelamu;Poltsamaa;Annikvere;26.026556;58.647625
enne 1919;paljukorteriline elamu;Poltsamaa;Annikvere;26.025903;58.647922
1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.023730;58.648662
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.023041;58.648089
ehitus pooleli;uhepereelamu;Poltsamaa;Annikvere;26.022019;58.648267
1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.021206;58.649707
enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.018753;58.647527
ehitusaeg teadmata;uhepereelamu;Poltsamaa;Annikvere;26.042317;58.642322
1961-1970;paljukorteriline elamu;Pajusi;Arisvere;26.006704;58.789355
1981-1990;uhepereelamu;Pajusi;Arisvere;26.009508;58.790011
1981-1990;uhepereelamu;Pajusi;Arisvere;26.011929;58.789696
1981-1990;uhepereelamu;Pajusi;Arisvere;26.014042;58.789581
1981-1990;uhepereelamu;Pajusi;Arisvere;26.015295;58.789714
1919-1945;uhepereelamu;Pajusi;Arisvere;26.019531;58.790366
1919-1945;uhepereelamu;Pajusi;Arisvere;26.020730;58.790743
1919-1945;uhepereelamu;Pajusi;Arisvere;26.021594;58.791027
enne 1919;uhepereelamu;Pajusi;Arisvere;26.024201;58.790451
enne 1919;uhepereelamu;Pajusi;Arisvere;26.021518;58.784978
enne 1919;uhepereelamu;Pajusi;Arisvere;26.032042;58.789465
enne 1919;uhepereelamu;Pajusi;Arisvere;26.034210;58.787176
ehitusaeg teadmata;uhepereelamu;Pajusi;Arisvere;26.047004;58.786112
1919-1945;uhepereelamu;Pajusi;Arisvere;26.039628;58.780140
enne 1919;uhepereelamu;Pajusi;Arisvere;26.045834;58.780328
1919-1945;paljukorteriline elamu;Pajusi;Arisvere;26.008742;58.788150
enne 1919;uhepereelamu;Pajusi;Arisvere;26.012247;58.786227
enne 1919;uhepereelamu;Pajusi;Arisvere;26.004843;58.788813
1919-1945;uhepereelamu;Pajusi;Arisvere;26.005183;58.788354
1981-1990;uhepereelamu;Pajusi;Arisvere;26.004884;58.789535
enne 1919;uhepereelamu;Pala;Assikvere;26.968713;58.714840
1919-1945;muu vaikeelamu;Pala;Assikvere;26.967422;58.714452
1919-1945;uhepereelamu;Pala;Assikvere;26.959657;58.716649
1981-1990;uhepereelamu;Pala;Assikvere;26.959313;58.718111
enne 1919;uhepereelamu;Pala;Assikvere;26.963947;58.717637
1919-1945;uhepereelamu;Pala;Assikvere;26.963055;58.718143
1919-1945;uhepereelamu;Pala;Assikvere;26.964832;58.719809
1919-1945;uhepereelamu;Pala;Assikvere;26.964894;58.720535
1919-1945;uhepereelamu;Pala;Assikvere;26.963134;58.721789
enne 1919;uhepereelamu;Pala;Assikvere;26.967065;58.724135
enne 1919;uhepereelamu;Pala;Assikvere;26.970922;58.714564
ehitusaeg teadmata;uhepereelamu;Pala;Assikvere;26.971654;58.714794
1961-1970;hoone liik teadmata;Pala;Assikvere;26.973787;58.715343
1919-1945;uhepereelamu;Pala;Assikvere;26.978025;58.718300
enne 1919;uhepereelamu;Pala;Assikvere;26.977256;58.718836
enne 1919;uhepereelamu;Pala;Assikvere;26.975608;58.719723
1919-1945;uhepereelamu;Pala;Assikvere;26.974304;58.722539
enne 1919;uhepereelamu;Pala;Assikvere;26.975663;58.726363
1919-1945;uhepereelamu;Pala;Assikvere;26.973713;58.728115
enne 1919;uhepereelamu;Pala;Assikvere;26.978719;58.720029
enne 1919;uhepereelamu;Pala;Assikvere;26.992102;58.721974
enne 1919;uhepereelamu;Pala;Assikvere;26.995687;58.725657
enne 1919;uhepereelamu;Pala;Assikvere;27.000584;58.728220
1919-1945;uhepereelamu;Pala;Assikvere;26.967737;58.712813
1919-1945;uhepereelamu;Pala;Assikvere;26.964262;58.713137
1919-1945;uhepereelamu;Pala;Assikvere;26.961628;58.712352
enne 1919;uhepereelamu;Pala;Assikvere;26.958136;58.712433
enne 1919;uhepereelamu;Pala;Assikvere;26.957763;58.710859
ehitusaeg teadmata;uhepereelamu;Pala;Assikvere;26.949701;58.709336
1919-1945;uhepereelamu;Pala;Assikvere;26.948902;58.710937
enne 1919;uhepereelamu;Pala;Assikvere;26.945645;58.713806
enne 1919;uhepereelamu;Pala;Assikvere;26.942878;58.717033
enne 1919;uhepereelamu;Pala;Assikvere;26.945860;58.716353
enne 1919;uhepereelamu;Pala;Assikvere;26.949059;58.718346
enne 1919;uhepereelamu;Pala;Assikvere;26.980135;58.720939
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.626415;58.679264
enne 1919;uhepereelamu;Palamuse;Eerikvere;26.626241;58.679834
ehitusaeg teadmata;uhepereelamu;Palamuse;Eerikvere;26.625331;58.685054
enne 1919;uhepereelamu;Palamuse;Eerikvere;26.635773;58.685291
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.634167;58.687021
ehitusaeg teadmata;uhepereelamu;Palamuse;Eerikvere;26.632984;58.688636
enne 1919;uhepereelamu;Palamuse;Eerikvere;26.628813;58.690977
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.625027;58.678160
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.623400;58.676720
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.631689;58.671456
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.641343;58.672849
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.638961;58.667130
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.639793;58.666653
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.645367;58.662918
enne 1919;uhepereelamu;Palamuse;Eerikvere;26.645969;58.662232
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.645479;58.661452
1981-1990;uhepereelamu;Palamuse;Eerikvere;26.621183;58.679030
1946-1960;uhepereelamu;Palamuse;Eerikvere;26.615297;58.681637
1946-1960;uhepereelamu;Palamuse;Eerikvere;26.614089;58.682902
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.606637;58.681930
1961-1970;paljukorteriline elamu;Palamuse;Eerikvere;26.606555;58.683737
enne 1919;uhepereelamu;Palamuse;Eerikvere;26.602787;58.685629
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.604438;58.687401
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.606315;58.689286
1961-1970;uhepereelamu;Palamuse;Eerikvere;26.594232;58.681614
1946-1960;uhepereelamu;Palamuse;Eerikvere;26.594815;58.680695
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.621259;58.685821
enne 1919;uhepereelamu;Palamuse;Eerikvere;26.621411;58.687848
1919-1945;uhepereelamu;Palamuse;Eerikvere;26.618403;58.691189
1919-1945;uhepereelamu;Palamuse;Ehavere;26.633111;58.652415
1919-1945;uhepereelamu;Palamuse;Ehavere;26.627153;58.655682
1919-1945;uhepereelamu;Palamuse;Ehavere;26.630315;58.657647
enne 1919;uhepereelamu;Palamuse;Ehavere;26.640001;58.652184
1971-1980;uhepereelamu;Palamuse;Ehavere;26.635934;58.647549
enne 1919;uhepereelamu;Palamuse;Ehavere;26.638289;58.646707
1919-1945;uhepereelamu;Palamuse;Ehavere;26.648784;58.644141
enne 1919;uhepereelamu;Palamuse;Ehavere;26.654403;58.638760
1919-1945;uhepereelamu;Palamuse;Ehavere;26.653794;58.630730
1919-1945;uhepereelamu;Palamuse;Ehavere;26.661889;58.632414
1919-1945;uhepereelamu;Palamuse;Ehavere;26.663312;58.632483
enne 1919;uhepereelamu;Palamuse;Ehavere;26.628654;58.645021
enne 1919;uhepereelamu;Palamuse;Ehavere;26.628487;58.642806
enne 1919;uhepereelamu;Palamuse;Ehavere;26.626774;58.641268
1919-1945;uhepereelamu;Palamuse;Ehavere;26.642667;58.635856
1946-1960;uhepereelamu;Palamuse;Ehavere;26.649984;58.634232
1919-1945;uhepereelamu;Palamuse;Ehavere;26.624767;58.642791
1919-1945;uhepereelamu;Palamuse;Ehavere;26.624771;58.647599
1919-1945;uhepereelamu;Palamuse;Ehavere;26.618768;58.645492
1961-1970;elukorteri(te)ga mitteelamu;Tabivere;Elistvere;26.685079;58.576497
1919-1945;uhepereelamu;Tabivere;Elistvere;26.682626;58.576143
1919-1945;uhepereelamu;Tabivere;Elistvere;26.677718;58.578124
1919-1945;uhepereelamu;Tabivere;Elistvere;26.671827;58.583673
1919-1945;uhepereelamu;Tabivere;Elistvere;26.667786;58.586849
enne 1919;uhepereelamu;Tabivere;Elistvere;26.665433;58.589050
1919-1945;uhepereelamu;Tabivere;Elistvere;26.664191;58.590325
1961-1970;uhepereelamu;Tabivere;Elistvere;26.686831;58.574026
1961-1970;uhepereelamu;Tabivere;Elistvere;26.685772;58.572987
1919-1945;uhepereelamu;Tabivere;Elistvere;26.687547;58.572253
1946-1960;uhepereelamu;Tabivere;Elistvere;26.689472;58.573008
1946-1960;uhepereelamu;Tabivere;Elistvere;26.690495;58.572429
1919-1945;uhepereelamu;Tabivere;Elistvere;26.686204;58.571001
1919-1945;uhepereelamu;Tabivere;Elistvere;26.692473;58.569091
1919-1945;uhepereelamu;Tabivere;Elistvere;26.692824;58.568732
1919-1945;uhepereelamu;Tabivere;Elistvere;26.700712;58.565072
1919-1945;uhepereelamu;Tabivere;Elistvere;26.690074;58.561790
1919-1945;uhepereelamu;Tabivere;Elistvere;26.690411;58.559915
1919-1945;uhepereelamu;Tabivere;Elistvere;26.683109;58.563563
1919-1945;uhepereelamu;Tabivere;Elistvere;26.679211;58.565927
1919-1945;uhepereelamu;Tabivere;Elistvere;26.678015;58.566706
1919-1945;uhepereelamu;Tabivere;Elistvere;26.676006;58.568528
1919-1945;uhepereelamu;Tabivere;Elistvere;26.675736;58.569952
1919-1945;uhepereelamu;Tabivere;Elistvere;26.673785;58.571206
1981-1990;uhepereelamu;Tabivere;Elistvere;26.670531;58.573561
1946-1960;muu vaikeelamu;Tabivere;Elistvere;26.670291;58.575036
enne 1919;uhepereelamu;Tabivere;Elistvere;26.662701;58.573620
enne 1919;uhepereelamu;Jogeva;Ellakvere;26.439765;58.734375
1919-1945;uhepereelamu;Jogeva;Ellakvere;26.427112;58.727566
1981-1990;uhepereelamu;Jogeva;Ellakvere;26.424112;58.731214
1981-1990;uhepereelamu;Jogeva;Ellakvere;26.423461;58.731640
enne 1919;uhepereelamu;Jogeva;Ellakvere;26.423206;58.732778
1919-1945;uhepereelamu;Jogeva;Ellakvere;26.423947;58.732835
enne 1919;uhepereelamu;Jogeva;Ellakvere;26.420164;58.735391
1919-1945;uhepereelamu;Jogeva;Ellakvere;26.418756;58.739702
enne 1919;uhepereelamu;Jogeva;Ellakvere;26.418379;58.741030
1961-1970;paljukorteriline elamu;Jogeva;Ellakvere;26.418953;58.742003
1961-1970;paljukorteriline elamu;Jogeva;Ellakvere;26.419052;58.742602
1961-1970;paljukorteriline elamu;Jogeva;Ellakvere;26.418966;58.742852
enne 1919;uhepereelamu;Jogeva;Ellakvere;26.418455;58.743849
enne 1919;uhepereelamu;Jogeva;Ellakvere;26.417107;58.743758
enne 1919;uhepereelamu;Jogeva;Ellakvere;26.417977;58.744631
1961-1970;paljukorteriline elamu;Jogeva;Ellakvere;26.417487;58.745565
1919-1945;uhepereelamu;Jogeva;Ellakvere;26.431857;58.735427
enne 1919;uhepereelamu;Jogeva;Ellakvere;26.430892;58.734371
enne 1919;uhepereelamu;Jogeva;Ellakvere;26.434112;58.733879
enne 1919;uhepereelamu;Jogeva;Ellakvere;26.450114;58.733954
1919-1945;uhepereelamu;Jogeva;Ellakvere;26.434274;58.721428
1981-1990;uhepereelamu;Jogeva;Ellakvere;26.440999;58.723157
enne 1919;uhepereelamu;Jogeva;Ellakvere;26.439763;58.734375
enne 1919;uhepereelamu;Jogeva;Endla;26.228652;58.814608
enne 1919;uhepereelamu;Jogeva;Endla;26.232385;58.816763
1919-1945;uhepereelamu;Jogeva;Endla;26.232318;58.816971
1919-1945;uhepereelamu;Jogeva;Endla;26.229769;58.818029
1919-1945;uhepereelamu;Jogeva;Endla;26.225744;58.818692
1919-1945;uhepereelamu;Jogeva;Endla;26.226766;58.819707
1919-1945;uhepereelamu;Jogeva;Endla;26.225453;58.823826
1946-1960;paljukorteriline elamu;Jogeva;Endla;26.226616;58.824255
enne 1919;uhepereelamu;Jogeva;Endla;26.222710;58.828486
1919-1945;uhepereelamu;Jogeva;Endla;26.219839;58.828198
enne 1919;uhepereelamu;Jogeva;Endla;26.215875;58.827857
enne 1919;uhepereelamu;Jogeva;Endla;26.215888;58.827435
enne 1919;uhepereelamu;Jogeva;Endla;26.194407;58.826369
enne 1919;uhepereelamu;Jogeva;Endla;26.232968;58.828525
ehitus pooleli;uhepereelamu;Jogeva;Endla;26.233242;58.829221
1919-1945;uhepereelamu;Jogeva;Endla;26.235894;58.831088
enne 1919;uhepereelamu;Jogeva;Endla;26.237317;58.829321
enne 1919;uhepereelamu;Jogeva;Endla;26.240535;58.828677
1946-1960;uhepereelamu;Jogeva;Endla;26.242434;58.827090
enne 1919;uhepereelamu;Jogeva;Endla;26.242915;58.822402
enne 1919;uhepereelamu;Jogeva;Endla;26.248051;58.820839
1919-1945;uhepereelamu;Jogeva;Endla;26.248257;58.821140
enne 1919;uhepereelamu;Jogeva;Endla;26.253860;58.819180
1919-1945;uhepereelamu;Jogeva;Endla;26.254290;58.821791
enne 1919;uhepereelamu;Jogeva;Endla;26.235359;58.806319
1946-1960;uhepereelamu;Jogeva;Endla;26.220550;58.808447
enne 1919;uhepereelamu;Jogeva;Endla;26.223960;58.806384
1919-1945;uhepereelamu;Jogeva;Endla;26.212778;58.809649
1946-1960;uhepereelamu;Jogeva;Endla;26.219265;58.804656
1919-1945;uhepereelamu;Jogeva;Endla;26.235072;58.795786
1919-1945;uhepereelamu;Jogeva;Endla;26.220304;58.800156
1919-1945;uhepereelamu;Jogeva;Endla;26.212720;58.802661
enne 1919;uhepereelamu;Jogeva;Endla;26.221907;58.829200
1961-1970;paljukorteriline elamu;Poltsamaa;Esku;25.889792;58.641492
ehitusaeg teadmata;paljukorteriline elamu;Poltsamaa;Esku;25.889025;58.641705
1981-1990;paljukorteriline elamu;Poltsamaa;Esku;25.887935;58.642203
1981-1990;paljukorteriline elamu;Poltsamaa;Esku;25.887118;58.642390
1981-1990;paljukorteriline elamu;Poltsamaa;Esku;25.886065;58.642688
1981-1990;paljukorteriline elamu;Poltsamaa;Esku;25.885107;58.642954
1981-1990;paljukorteriline elamu;Poltsamaa;Esku;25.886090;58.643168
1919-1945;uhepereelamu;Poltsamaa;Esku;25.884706;58.643619
ehitusaeg teadmata;hoone liik teadmata;Poltsamaa;Esku;25.884780;58.644098
1971-1980;uhepereelamu;Poltsamaa;Esku;25.889497;58.642305
1919-1945;uhepereelamu;Poltsamaa;Esku;25.890287;58.642522
1971-1980;uhepereelamu;Poltsamaa;Esku;25.889512;58.642584
1971-1980;uhepereelamu;Poltsamaa;Esku;25.888786;58.642648
1971-1980;uhepereelamu;Poltsamaa;Esku;25.888899;58.642947
1971-1980;uhepereelamu;Poltsamaa;Esku;25.889625;58.642887
1971-1980;uhepereelamu;Poltsamaa;Esku;25.891330;58.642938
1971-1980;uhepereelamu;Poltsamaa;Esku;25.890460;58.643028
1971-1980;uhepereelamu;Poltsamaa;Esku;25.889737;58.643164
1971-1980;uhepereelamu;Poltsamaa;Esku;25.888964;58.643252
1961-1970;uhepereelamu;Poltsamaa;Esku;25.890573;58.643331
1919-1945;uhepereelamu;Poltsamaa;Esku;25.871659;58.658549
1919-1945;uhepereelamu;Poltsamaa;Esku;25.871837;58.659912
1961-1970;paljukorteriline elamu;Poltsamaa;Esku;25.891924;58.640469
1919-1945;uhepereelamu;Poltsamaa;Esku;25.896908;58.641253
1919-1945;uhepereelamu;Poltsamaa;Esku;25.901988;58.641501
1919-1945;uhepereelamu;Poltsamaa;Esku;25.901237;58.643219
1919-1945;uhepereelamu;Poltsamaa;Esku;25.905595;58.645732
1919-1945;uhepereelamu;Poltsamaa;Esku;25.905160;58.647229
1919-1945;uhepereelamu;Poltsamaa;Esku;25.906479;58.651495
1919-1945;uhepereelamu;Poltsamaa;Esku;25.901991;58.655181
1919-1945;uhepereelamu;Poltsamaa;Esku;25.897304;58.658389
ehitusaeg teadmata;uhepereelamu;Poltsamaa;Esku;25.895928;58.660053
1946-1960;uhepereelamu;Poltsamaa;Esku;25.892205;58.659730
enne 1919;uhepereelamu;Poltsamaa;Esku;25.894170;58.639725
1981-1990;uhepereelamu;Poltsamaa;Esku;25.894221;58.638867
1981-1990;uhepereelamu;Poltsamaa;Esku;25.895029;58.639413
ehitusaeg teadmata;uhepereelamu;Poltsamaa;Esku;25.896367;58.639900
1971-1980;uhepereelamu;Poltsamaa;Esku;25.896248;58.639494
1981-1990;uhepereelamu;Poltsamaa;Esku;25.896722;58.639312
1981-1990;uhepereelamu;Poltsamaa;Esku;25.896169;58.638938
1919-1945;uhepereelamu;Poltsamaa;Esku;25.897246;58.639075
enne 1919;uhepereelamu;Poltsamaa;Esku;25.895832;58.638081
1919-1945;uhepereelamu;Poltsamaa;Esku;25.895270;58.637609
1919-1945;uhepereelamu;Poltsamaa;Esku;25.893604;58.637381
