FID;build_time;build_type;municipality;settl_unit;lon;lat
0;enne 1919;uhepereelamu;Pajusi;Aidu;26.198374;58.728722
1;enne 1919;uhepereelamu;Pajusi;Aidu;26.200217;58.729531
2;enne 1919;uhepereelamu;Pajusi;Aidu;26.199965;58.730159
3;1946-1960;uhepereelamu;Pajusi;Aidu;26.200185;58.731507
4;1946-1960;uhepereelamu;Pajusi;Aidu;26.198416;58.731246
5;1919-1945;uhepereelamu;Pajusi;Aidu;26.198508;58.731760
6;1971-1980;uhepereelamu;Pajusi;Aidu;26.197071;58.731825
7;1971-1980;uhepereelamu;Pajusi;Aidu;26.197653;58.732206
8;enne 1919;uhepereelamu;Pajusi;Aidu;26.196776;58.729994
9;enne 1919;uhepereelamu;Pajusi;Aidu;26.195381;58.731045
10;ehitusaeg teadmata;uhepereelamu;Pajusi;Aidu;26.194032;58.733134
11;enne 1919;uhepereelamu;Pajusi;Aidu;26.194114;58.734444
12;1919-1945;uhepereelamu;Pajusi;Aidu;26.192216;58.735178
13;1981-1990;uhepereelamu;Pajusi;Aidu;26.193729;58.735466
14;ehitusaeg teadmata;uhepereelamu;Pajusi;Aidu;26.185043;58.737473
15;1971-1980;uhepereelamu;Pajusi;Aidu;26.185069;58.738258
16;1981-1990;uhepereelamu;Pajusi;Aidu;26.184674;58.739209
17;1981-1990;uhepereelamu;Pajusi;Aidu;26.183202;58.738905
18;enne 1919;uhepereelamu;Pajusi;Aidu;26.180276;58.740041
19;1981-1990;uhepereelamu;Pajusi;Aidu;26.179150;58.740231
20;1919-1945;uhepereelamu;Pajusi;Aidu;26.178203;58.740311
21;1961-1970;uhepereelamu;Pajusi;Aidu;26.187440;58.732851
22;1961-1970;uhepereelamu;Pajusi;Aidu;26.186230;58.732566
23;1919-1945;uhepereelamu;Pajusi;Aidu;26.183267;58.733003
24;1971-1980;uhepereelamu;Pajusi;Aidu;26.180105;58.732508
25;1946-1960;uhepereelamu;Pajusi;Aidu;26.202473;58.730479
26;enne 1919;uhepereelamu;Pajusi;Aidu;26.204298;58.727781
27;1919-1945;uhepereelamu;Pajusi;Aidu;26.207695;58.722562
28;1961-1970;uhepereelamu;Pajusi;Aidu;26.196856;58.728406
29;1919-1945;uhepereelamu;Pajusi;Aidu;26.197727;58.727251
30;enne 1919;uhepereelamu;Pajusi;Aidu;26.198273;58.724672
31;enne 1919;uhepereelamu;Pajusi;Aidu;26.199285;58.719364
32;enne 1919;uhepereelamu;Pajusi;Aidu;26.206936;58.715267
33;enne 1919;uhepereelamu;Pajusi;Aidu;26.191114;58.717643
34;enne 1919;uhepereelamu;Pajusi;Aidu;26.183929;58.719705
35;1919-1945;uhepereelamu;Pajusi;Aidu;26.185138;58.717511
36;1946-1960;muu vaikeelamu;Pajusi;Aidu;26.182006;58.717564
37;1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.988536;58.690483
38;1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.986697;58.696035
39;enne 1919;uhepereelamu;Poltsamaa;Alastvere;25.986271;58.697999
40;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.006165;58.694889
41;1961-1970;paljukorteriline elamu;Poltsamaa;Alastvere;25.999520;58.699681
42;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.009620;58.696120
43;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.009126;58.698005
44;enne 1919;uhepereelamu;Poltsamaa;Alastvere;26.010986;58.698264
45;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.013119;58.699344
46;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.016473;58.701537
47;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.005423;58.692467
48;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.003251;58.692177
49;1991-1995;uhepereelamu;Poltsamaa;Alastvere;26.003921;58.689122
50;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.003968;58.688761
51;1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.991139;58.686203
52;1961-1970;uhepereelamu;Poltsamaa;Alastvere;25.994428;58.679143
53;1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.987946;58.688292
54;enne 1919;uhepereelamu;Poltsamaa;Alastvere;25.985047;58.688579
55;enne 1919;uhepereelamu;Poltsamaa;Alastvere;25.985238;58.689213
56;1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.980965;58.688435
57;1919-1945;uhepereelamu;Jogeva;Alavere;26.519816;58.763077
58;enne 1919;uhepereelamu;Jogeva;Alavere;26.505981;58.776718
59;1919-1945;uhepereelamu;Jogeva;Alavere;26.506546;58.775113
60;1919-1945;uhepereelamu;Jogeva;Alavere;26.508954;58.773835
61;ehitus pooleli;uhepereelamu;Jogeva;Alavere;26.509107;58.772785
62;enne 1919;uhepereelamu;Jogeva;Alavere;26.509407;58.772339
63;ehitusaeg teadmata;uhepereelamu;Jogeva;Alavere;26.509422;58.771944
64;enne 1919;uhepereelamu;Jogeva;Alavere;26.510347;58.770883
65;enne 1919;uhepereelamu;Jogeva;Alavere;26.511272;58.770803
66;ehitusaeg teadmata;uhepereelamu;Jogeva;Alavere;26.511409;58.770000
67;enne 1919;uhepereelamu;Jogeva;Alavere;26.510201;58.769808
68;enne 1919;uhepereelamu;Jogeva;Alavere;26.512830;58.769232
69;1919-1945;uhepereelamu;Jogeva;Alavere;26.513077;58.768801
70;1971-1980;uhepereelamu;Jogeva;Alavere;26.512542;58.767651
71;1919-1945;uhepereelamu;Jogeva;Alavere;26.513016;58.765742
72;enne 1919;uhepereelamu;Jogeva;Alavere;26.517989;58.757316
73;enne 1919;uhepereelamu;Jogeva;Alavere;26.519795;58.754901
74;1981-1990;uhepereelamu;Jogeva;Alavere;26.522193;58.755029
75;1919-1945;uhepereelamu;Jogeva;Alavere;26.524174;58.757295
76;1981-1990;uhepereelamu;Jogeva;Alavere;26.517110;58.753946
77;1971-1980;uhepereelamu;Jogeva;Alavere;26.515287;58.753866
78;1981-1990;uhepereelamu;Jogeva;Alavere;26.515798;58.753087
79;1971-1980;uhepereelamu;Jogeva;Alavere;26.513721;58.752656
80;1919-1945;uhepereelamu;Jogeva;Alavere;26.519799;58.763077
81;enne 1919;uhepereelamu;Puurmani;Altnurga;26.300992;58.547581
82;enne 1919;uhepereelamu;Puurmani;Altnurga;26.300657;58.548242
83;enne 1919;uhepereelamu;Puurmani;Altnurga;26.300313;58.548708
84;1919-1945;uhepereelamu;Puurmani;Altnurga;26.303231;58.553119
85;1919-1945;uhepereelamu;Puurmani;Altnurga;26.297650;58.554261
86;1919-1945;uhepereelamu;Puurmani;Altnurga;26.296548;58.556581
87;1919-1945;uhepereelamu;Puurmani;Altnurga;26.292558;58.558953
88;1919-1945;uhepereelamu;Puurmani;Altnurga;26.294070;58.561019
89;1919-1945;uhepereelamu;Puurmani;Altnurga;26.294965;58.563168
90;1919-1945;uhepereelamu;Puurmani;Altnurga;26.291489;58.563886
91;1946-1960;uhepereelamu;Puurmani;Altnurga;26.293054;58.564711
92;1919-1945;uhepereelamu;Puurmani;Altnurga;26.304447;58.560113
93;1919-1945;uhepereelamu;Puurmani;Altnurga;26.309281;58.559111
94;1919-1945;uhepereelamu;Puurmani;Altnurga;26.315373;58.559981
95;enne 1919;uhepereelamu;Puurmani;Altnurga;26.315666;58.562607
96;enne 1919;uhepereelamu;Puurmani;Altnurga;26.317884;58.557904
97;enne 1919;uhepereelamu;Puurmani;Altnurga;26.326411;58.550140
98;1919-1945;uhepereelamu;Puurmani;Altnurga;26.311095;58.544641
99;enne 1919;uhepereelamu;Puurmani;Altnurga;26.320597;58.541982
100;enne 1919;uhepereelamu;Puurmani;Altnurga;26.325961;58.537618
101;1961-1970;uhepereelamu;Puurmani;Altnurga;26.331112;58.541458
102;enne 1919;uhepereelamu;Puurmani;Altnurga;26.334800;58.540080
103;1919-1945;uhepereelamu;Puurmani;Altnurga;26.344194;58.537681
104;ehitusaeg teadmata;uhepereelamu;Puurmani;Altnurga;26.347024;58.535005
105;1919-1945;uhepereelamu;Puurmani;Altnurga;26.387082;58.516442
106;enne 1919;uhepereelamu;Puurmani;Altnurga;26.324000;58.528795
107;enne 1919;uhepereelamu;Puurmani;Altnurga;26.305945;58.521704
108;1919-1945;uhepereelamu;Puurmani;Altnurga;26.295987;58.528837
109;enne 1919;uhepereelamu;Puurmani;Altnurga;26.299958;58.535724
110;1946-1960;uhepereelamu;Puurmani;Altnurga;26.290064;58.538128
111;1919-1945;uhepereelamu;Puurmani;Altnurga;26.291890;58.545050
112;1919-1945;uhepereelamu;Puurmani;Altnurga;26.281720;58.543262
113;enne 1919;uhepereelamu;Puurmani;Altnurga;26.420333;58.531050
114;enne 1919;uhepereelamu;Puurmani;Altnurga;26.429465;58.541137
115;1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.039258;58.645695
116;1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.057165;58.645168
117;enne 1919;muu vaikeelamu;Poltsamaa;Annikvere;26.040234;58.641947
118;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.039343;58.641832
119;enne 1919;paljukorteriline elamu;Poltsamaa;Annikvere;26.041453;58.641969
120;1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.040123;58.641315
121;1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.040805;58.640586
122;1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.045192;58.639888
123;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.045510;58.638545
124;1981-1990;uhepereelamu;Poltsamaa;Annikvere;26.047120;58.637217
125;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.049467;58.636398
126;1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.050060;58.635615
127;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.059000;58.635312
128;1946-1960;uhepereelamu;Poltsamaa;Annikvere;26.034217;58.643466
129;1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.032188;58.641478
130;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.033798;58.635084
131;1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.038680;58.635796
132;ehitusaeg teadmata;uhepereelamu;Poltsamaa;Annikvere;26.036843;58.632834
133;1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.033706;58.645908
134;ehitus pooleli;uhepereelamu;Poltsamaa;Annikvere;26.032394;58.646253
135;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.031610;58.644774
136;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.031296;58.644474
137;1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.031148;58.646452
138;1946-1960;uhepereelamu;Poltsamaa;Annikvere;26.029901;58.646579
139;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.029493;58.646883
140;ehitusaeg teadmata;uhepereelamu;Poltsamaa;Annikvere;26.028874;58.646668
141;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.028170;58.647124
142;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.028712;58.646006
143;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.027127;58.645967
144;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.027452;58.647328
145;1946-1960;uhepereelamu;Poltsamaa;Annikvere;26.026556;58.647625
146;enne 1919;paljukorteriline elamu;Poltsamaa;Annikvere;26.025903;58.647922
147;1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.023730;58.648662
148;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.023041;58.648089
149;ehitus pooleli;uhepereelamu;Poltsamaa;Annikvere;26.022019;58.648267
150;1919-1945;uhepereelamu;Poltsamaa;Annikvere;26.021206;58.649707
151;enne 1919;uhepereelamu;Poltsamaa;Annikvere;26.018753;58.647527
152;ehitusaeg teadmata;uhepereelamu;Poltsamaa;Annikvere;26.042317;58.642322
153;1961-1970;paljukorteriline elamu;Pajusi;Arisvere;26.006704;58.789355
154;1981-1990;uhepereelamu;Pajusi;Arisvere;26.009508;58.790011
155;1981-1990;uhepereelamu;Pajusi;Arisvere;26.011929;58.789696
156;1981-1990;uhepereelamu;Pajusi;Arisvere;26.014042;58.789581
157;1981-1990;uhepereelamu;Pajusi;Arisvere;26.015295;58.789714
158;1919-1945;uhepereelamu;Pajusi;Arisvere;26.019531;58.790366
159;1919-1945;uhepereelamu;Pajusi;Arisvere;26.020730;58.790743
160;1919-1945;uhepereelamu;Pajusi;Arisvere;26.021594;58.791027
161;enne 1919;uhepereelamu;Pajusi;Arisvere;26.024201;58.790451
162;enne 1919;uhepereelamu;Pajusi;Arisvere;26.021518;58.784978
163;enne 1919;uhepereelamu;Pajusi;Arisvere;26.032042;58.789465
164;enne 1919;uhepereelamu;Pajusi;Arisvere;26.034210;58.787176
165;ehitusaeg teadmata;uhepereelamu;Pajusi;Arisvere;26.047004;58.786112
166;1919-1945;uhepereelamu;Pajusi;Arisvere;26.039628;58.780140
167;enne 1919;uhepereelamu;Pajusi;Arisvere;26.045834;58.780328
168;1919-1945;paljukorteriline elamu;Pajusi;Arisvere;26.008742;58.788150
169;enne 1919;uhepereelamu;Pajusi;Arisvere;26.012247;58.786227
170;enne 1919;uhepereelamu;Pajusi;Arisvere;26.004843;58.788813
171;1919-1945;uhepereelamu;Pajusi;Arisvere;26.005183;58.788354
172;1981-1990;uhepereelamu;Pajusi;Arisvere;26.004884;58.789535
173;enne 1919;uhepereelamu;Pala;Assikvere;26.968713;58.714840
174;1919-1945;muu vaikeelamu;Pala;Assikvere;26.967422;58.714452
175;1919-1945;uhepereelamu;Pala;Assikvere;26.959657;58.716649
176;1981-1990;uhepereelamu;Pala;Assikvere;26.959313;58.718111
177;enne 1919;uhepereelamu;Pala;Assikvere;26.963947;58.717637
178;1919-1945;uhepereelamu;Pala;Assikvere;26.963055;58.718143
179;1919-1945;uhepereelamu;Pala;Assikvere;26.964832;58.719809
180;1919-1945;uhepereelamu;Pala;Assikvere;26.964894;58.720535
181;1919-1945;uhepereelamu;Pala;Assikvere;26.963134;58.721789
182;enne 1919;uhepereelamu;Pala;Assikvere;26.967065;58.724135
183;enne 1919;uhepereelamu;Pala;Assikvere;26.970922;58.714564
184;ehitusaeg teadmata;uhepereelamu;Pala;Assikvere;26.971654;58.714794
185;1961-1970;hoone liik teadmata;Pala;Assikvere;26.973787;58.715343
186;1919-1945;uhepereelamu;Pala;Assikvere;26.978025;58.718300
187;enne 1919;uhepereelamu;Pala;Assikvere;26.977256;58.718836
188;enne 1919;uhepereelamu;Pala;Assikvere;26.975608;58.719723
189;1919-1945;uhepereelamu;Pala;Assikvere;26.974304;58.722539
190;enne 1919;uhepereelamu;Pala;Assikvere;26.975663;58.726363
191;1919-1945;uhepereelamu;Pala;Assikvere;26.973713;58.728115
192;enne 1919;uhepereelamu;Pala;Assikvere;26.978719;58.720029
193;enne 1919;uhepereelamu;Pala;Assikvere;26.992102;58.721974
194;enne 1919;uhepereelamu;Pala;Assikvere;26.995687;58.725657
195;enne 1919;uhepereelamu;Pala;Assikvere;27.000584;58.728220
196;1919-1945;uhepereelamu;Pala;Assikvere;26.967737;58.712813
197;1919-1945;uhepereelamu;Pala;Assikvere;26.964262;58.713137
198;1919-1945;uhepereelamu;Pala;Assikvere;26.961628;58.712352
199;enne 1919;uhepereelamu;Pala;Assikvere;26.958136;58.712433
200;enne 1919;uhepereelamu;Pala;Assikvere;26.957763;58.710859
201;ehitusaeg teadmata;uhepereelamu;Pala;Assikvere;26.949701;58.709336
202;1919-1945;uhepereelamu;Pala;Assikvere;26.948902;58.710937
203;enne 1919;uhepereelamu;Pala;Assikvere;26.945645;58.713806
204;enne 1919;uhepereelamu;Pala;Assikvere;26.942878;58.717033
205;enne 1919;uhepereelamu;Pala;Assikvere;26.945860;58.716353
206;enne 1919;uhepereelamu;Pala;Assikvere;26.949059;58.718346
207;enne 1919;uhepereelamu;Pala;Assikvere;26.980135;58.720939
208;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.626415;58.679264
209;enne 1919;uhepereelamu;Palamuse;Eerikvere;26.626241;58.679834
210;ehitusaeg teadmata;uhepereelamu;Palamuse;Eerikvere;26.625331;58.685054
211;enne 1919;uhepereelamu;Palamuse;Eerikvere;26.635773;58.685291
212;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.634167;58.687021
213;ehitusaeg teadmata;uhepereelamu;Palamuse;Eerikvere;26.632984;58.688636
214;enne 1919;uhepereelamu;Palamuse;Eerikvere;26.628813;58.690977
215;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.625027;58.678160
216;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.623400;58.676720
217;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.631689;58.671456
218;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.641343;58.672849
219;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.638961;58.667130
220;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.639793;58.666653
221;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.645367;58.662918
222;enne 1919;uhepereelamu;Palamuse;Eerikvere;26.645969;58.662232
223;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.645479;58.661452
224;1981-1990;uhepereelamu;Palamuse;Eerikvere;26.621183;58.679030
225;1946-1960;uhepereelamu;Palamuse;Eerikvere;26.615297;58.681637
226;1946-1960;uhepereelamu;Palamuse;Eerikvere;26.614089;58.682902
227;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.606637;58.681930
228;1961-1970;paljukorteriline elamu;Palamuse;Eerikvere;26.606555;58.683737
229;enne 1919;uhepereelamu;Palamuse;Eerikvere;26.602787;58.685629
230;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.604438;58.687401
231;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.606315;58.689286
232;1961-1970;uhepereelamu;Palamuse;Eerikvere;26.594232;58.681614
233;1946-1960;uhepereelamu;Palamuse;Eerikvere;26.594815;58.680695
234;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.621259;58.685821
235;enne 1919;uhepereelamu;Palamuse;Eerikvere;26.621411;58.687848
236;1919-1945;uhepereelamu;Palamuse;Eerikvere;26.618403;58.691189
237;1919-1945;uhepereelamu;Palamuse;Ehavere;26.633111;58.652415
238;1919-1945;uhepereelamu;Palamuse;Ehavere;26.627153;58.655682
239;1919-1945;uhepereelamu;Palamuse;Ehavere;26.630315;58.657647
240;enne 1919;uhepereelamu;Palamuse;Ehavere;26.640001;58.652184
241;1971-1980;uhepereelamu;Palamuse;Ehavere;26.635934;58.647549
242;enne 1919;uhepereelamu;Palamuse;Ehavere;26.638289;58.646707
243;1919-1945;uhepereelamu;Palamuse;Ehavere;26.648784;58.644141
244;enne 1919;uhepereelamu;Palamuse;Ehavere;26.654403;58.638760
245;1919-1945;uhepereelamu;Palamuse;Ehavere;26.653794;58.630730
246;1919-1945;uhepereelamu;Palamuse;Ehavere;26.661889;58.632414
247;1919-1945;uhepereelamu;Palamuse;Ehavere;26.663312;58.632483
248;enne 1919;uhepereelamu;Palamuse;Ehavere;26.628654;58.645021
249;enne 1919;uhepereelamu;Palamuse;Ehavere;26.628487;58.642806
250;enne 1919;uhepereelamu;Palamuse;Ehavere;26.626774;58.641268
251;1919-1945;uhepereelamu;Palamuse;Ehavere;26.642667;58.635856
252;1946-1960;uhepereelamu;Palamuse;Ehavere;26.649984;58.634232
253;1919-1945;uhepereelamu;Palamuse;Ehavere;26.624767;58.642791
254;1919-1945;uhepereelamu;Palamuse;Ehavere;26.624771;58.647599
255;1919-1945;uhepereelamu;Palamuse;Ehavere;26.618768;58.645492
256;1961-1970;elukorteri(te)ga mitteelamu;Tabivere;Elistvere;26.685079;58.576497
257;1919-1945;uhepereelamu;Tabivere;Elistvere;26.682626;58.576143
258;1919-1945;uhepereelamu;Tabivere;Elistvere;26.677718;58.578124
259;1919-1945;uhepereelamu;Tabivere;Elistvere;26.671827;58.583673
260;1919-1945;uhepereelamu;Tabivere;Elistvere;26.667786;58.586849
261;enne 1919;uhepereelamu;Tabivere;Elistvere;26.665433;58.589050
262;1919-1945;uhepereelamu;Tabivere;Elistvere;26.664191;58.590325
263;1961-1970;uhepereelamu;Tabivere;Elistvere;26.686831;58.574026
264;1961-1970;uhepereelamu;Tabivere;Elistvere;26.685772;58.572987
265;1919-1945;uhepereelamu;Tabivere;Elistvere;26.687547;58.572253
266;1946-1960;uhepereelamu;Tabivere;Elistvere;26.689472;58.573008
267;1946-1960;uhepereelamu;Tabivere;Elistvere;26.690495;58.572429
268;1919-1945;uhepereelamu;Tabivere;Elistvere;26.686204;58.571001
269;1919-1945;uhepereelamu;Tabivere;Elistvere;26.692473;58.569091
270;1919-1945;uhepereelamu;Tabivere;Elistvere;26.692824;58.568732
271;1919-1945;uhepereelamu;Tabivere;Elistvere;26.700712;58.565072
272;1919-1945;uhepereelamu;Tabivere;Elistvere;26.690074;58.561790
273;1919-1945;uhepereelamu;Tabivere;Elistvere;26.690411;58.559915
274;1919-1945;uhepereelamu;Tabivere;Elistvere;26.683109;58.563563
275;1919-1945;uhepereelamu;Tabivere;Elistvere;26.679211;58.565927
276;1919-1945;uhepereelamu;Tabivere;Elistvere;26.678015;58.566706
277;1919-1945;uhepereelamu;Tabivere;Elistvere;26.676006;58.568528
278;1919-1945;uhepereelamu;Tabivere;Elistvere;26.675736;58.569952
279;1919-1945;uhepereelamu;Tabivere;Elistvere;26.673785;58.571206
280;1981-1990;uhepereelamu;Tabivere;Elistvere;26.670531;58.573561
281;1946-1960;muu vaikeelamu;Tabivere;Elistvere;26.670291;58.575036
282;enne 1919;uhepereelamu;Tabivere;Elistvere;26.662701;58.573620
283;enne 1919;uhepereelamu;Jogeva;Ellakvere;26.439765;58.734375
284;1919-1945;uhepereelamu;Jogeva;Ellakvere;26.427112;58.727566
285;1981-1990;uhepereelamu;Jogeva;Ellakvere;26.424112;58.731214
286;1981-1990;uhepereelamu;Jogeva;Ellakvere;26.423461;58.731640
287;enne 1919;uhepereelamu;Jogeva;Ellakvere;26.423206;58.732778
288;1919-1945;uhepereelamu;Jogeva;Ellakvere;26.423947;58.732835
289;enne 1919;uhepereelamu;Jogeva;Ellakvere;26.420164;58.735391
290;1919-1945;uhepereelamu;Jogeva;Ellakvere;26.418756;58.739702
291;enne 1919;uhepereelamu;Jogeva;Ellakvere;26.418379;58.741030
292;1961-1970;paljukorteriline elamu;Jogeva;Ellakvere;26.418953;58.742003
293;1961-1970;paljukorteriline elamu;Jogeva;Ellakvere;26.419052;58.742602
294;1961-1970;paljukorteriline elamu;Jogeva;Ellakvere;26.418966;58.742852
295;enne 1919;uhepereelamu;Jogeva;Ellakvere;26.418455;58.743849
296;enne 1919;uhepereelamu;Jogeva;Ellakvere;26.417107;58.743758
297;enne 1919;uhepereelamu;Jogeva;Ellakvere;26.417977;58.744631
298;1961-1970;paljukorteriline elamu;Jogeva;Ellakvere;26.417487;58.745565
299;1919-1945;uhepereelamu;Jogeva;Ellakvere;26.431857;58.735427
300;enne 1919;uhepereelamu;Jogeva;Ellakvere;26.430892;58.734371
301;enne 1919;uhepereelamu;Jogeva;Ellakvere;26.434112;58.733879
302;enne 1919;uhepereelamu;Jogeva;Ellakvere;26.450114;58.733954
303;1919-1945;uhepereelamu;Jogeva;Ellakvere;26.434274;58.721428
304;1981-1990;uhepereelamu;Jogeva;Ellakvere;26.440999;58.723157
305;enne 1919;uhepereelamu;Jogeva;Ellakvere;26.439763;58.734375
306;enne 1919;uhepereelamu;Jogeva;Endla;26.228652;58.814608
307;enne 1919;uhepereelamu;Jogeva;Endla;26.232385;58.816763
308;1919-1945;uhepereelamu;Jogeva;Endla;26.232318;58.816971
309;1919-1945;uhepereelamu;Jogeva;Endla;26.229769;58.818029
310;1919-1945;uhepereelamu;Jogeva;Endla;26.225744;58.818692
311;1919-1945;uhepereelamu;Jogeva;Endla;26.226766;58.819707
312;1919-1945;uhepereelamu;Jogeva;Endla;26.225453;58.823826
313;1946-1960;paljukorteriline elamu;Jogeva;Endla;26.226616;58.824255
314;enne 1919;uhepereelamu;Jogeva;Endla;26.222710;58.828486
315;1919-1945;uhepereelamu;Jogeva;Endla;26.219839;58.828198
316;enne 1919;uhepereelamu;Jogeva;Endla;26.215875;58.827857
317;enne 1919;uhepereelamu;Jogeva;Endla;26.215888;58.827435
318;enne 1919;uhepereelamu;Jogeva;Endla;26.194407;58.826369
319;enne 1919;uhepereelamu;Jogeva;Endla;26.232968;58.828525
320;ehitus pooleli;uhepereelamu;Jogeva;Endla;26.233242;58.829221
321;1919-1945;uhepereelamu;Jogeva;Endla;26.235894;58.831088
322;enne 1919;uhepereelamu;Jogeva;Endla;26.237317;58.829321
323;enne 1919;uhepereelamu;Jogeva;Endla;26.240535;58.828677
324;1946-1960;uhepereelamu;Jogeva;Endla;26.242434;58.827090
325;enne 1919;uhepereelamu;Jogeva;Endla;26.242915;58.822402
326;enne 1919;uhepereelamu;Jogeva;Endla;26.248051;58.820839
327;1919-1945;uhepereelamu;Jogeva;Endla;26.248257;58.821140
328;enne 1919;uhepereelamu;Jogeva;Endla;26.253860;58.819180
329;1919-1945;uhepereelamu;Jogeva;Endla;26.254290;58.821791
330;enne 1919;uhepereelamu;Jogeva;Endla;26.235359;58.806319
331;1946-1960;uhepereelamu;Jogeva;Endla;26.220550;58.808447
332;enne 1919;uhepereelamu;Jogeva;Endla;26.223960;58.806384
333;1919-1945;uhepereelamu;Jogeva;Endla;26.212778;58.809649
334;1946-1960;uhepereelamu;Jogeva;Endla;26.219265;58.804656
335;1919-1945;uhepereelamu;Jogeva;Endla;26.235072;58.795786
336;1919-1945;uhepereelamu;Jogeva;Endla;26.220304;58.800156
337;1919-1945;uhepereelamu;Jogeva;Endla;26.212720;58.802661
338;enne 1919;uhepereelamu;Jogeva;Endla;26.221907;58.829200
339;1961-1970;paljukorteriline elamu;Poltsamaa;Esku;25.889792;58.641492
340;ehitusaeg teadmata;paljukorteriline elamu;Poltsamaa;Esku;25.889025;58.641705
341;1981-1990;paljukorteriline elamu;Poltsamaa;Esku;25.887935;58.642203
342;1981-1990;paljukorteriline elamu;Poltsamaa;Esku;25.887118;58.642390
343;1981-1990;paljukorteriline elamu;Poltsamaa;Esku;25.886065;58.642688
344;1981-1990;paljukorteriline elamu;Poltsamaa;Esku;25.885107;58.642954
345;1981-1990;paljukorteriline elamu;Poltsamaa;Esku;25.886090;58.643168
346;1919-1945;uhepereelamu;Poltsamaa;Esku;25.884706;58.643619
347;ehitusaeg teadmata;hoone liik teadmata;Poltsamaa;Esku;25.884780;58.644098
348;1971-1980;uhepereelamu;Poltsamaa;Esku;25.889497;58.642305
349;1919-1945;uhepereelamu;Poltsamaa;Esku;25.890287;58.642522
350;1971-1980;uhepereelamu;Poltsamaa;Esku;25.889512;58.642584
351;1971-1980;uhepereelamu;Poltsamaa;Esku;25.888786;58.642648
352;1971-1980;uhepereelamu;Poltsamaa;Esku;25.888899;58.642947
353;1971-1980;uhepereelamu;Poltsamaa;Esku;25.889625;58.642887
354;1971-1980;uhepereelamu;Poltsamaa;Esku;25.891330;58.642938
355;1971-1980;uhepereelamu;Poltsamaa;Esku;25.890460;58.643028
356;1971-1980;uhepereelamu;Poltsamaa;Esku;25.889737;58.643164
357;1971-1980;uhepereelamu;Poltsamaa;Esku;25.888964;58.643252
358;1961-1970;uhepereelamu;Poltsamaa;Esku;25.890573;58.643331
359;1919-1945;uhepereelamu;Poltsamaa;Esku;25.871659;58.658549
360;1919-1945;uhepereelamu;Poltsamaa;Esku;25.871837;58.659912
361;1961-1970;paljukorteriline elamu;Poltsamaa;Esku;25.891924;58.640469
362;1919-1945;uhepereelamu;Poltsamaa;Esku;25.896908;58.641253
